Level,Expression,Value,Location,Refresh
0,referee_info,,0x20007CE0,5 Hz
 1,id,,0x20007CE0,5 Hz
  2,robot_color,0 ('\0'),0x20007CE0,5 Hz
  2,robot_id,3,0x20007CE1,5 Hz
  2,client_id,259,0x20007CE3,5 Hz
  2,receiver_id,0,0x20007CE5,5 Hz
 1,game_state,,0x20007CE7,5 Hz
  2,game_type,,<outofscope>,5 Hz
  2,game_progress,,<outofscope>,5 Hz
  2,stage_remain_time,0,0x20007CE8,5 Hz
  2,SyncTimeStamp,0,0x20007CEA,5 Hz
 1,game_result,,0x20007CF2,5 Hz
  2,winner,0 ('\0'),0x20007CF2,5 Hz
 1,game_robot_HP,,0x20007CF3,5 Hz
  2,ally_1_robot_HP,0,0x20007CF3,5 Hz
  2,ally_2_robot_HP,0,0x20007CF5,5 Hz
  2,ally_3_robot_HP,0,0x20007CF7,5 Hz
  2,ally_4_robot_HP,0,0x20007CF9,5 Hz
  2,damage_difference,0,0x20007CFB,5 Hz
  2,ally_7_robot_HP,0,0x20007CFD,5 Hz
  2,ally_outpost_HP,0,0x20007CFF,5 Hz
  2,ally_base_HP,0,0x20007D01,5 Hz
  2,enemy_outpost_HP,0,0x20007D03,5 Hz
  2,enemy_base_HP,0,0x20007D05,5 Hz
 1,event_data,,0x20007D07,5 Hz
  2,event_data,0,0x20007D07,5 Hz
 1,referee_warning,,0x20007D0B,5 Hz
  2,level,0 ('\0'),0x20007D0B,5 Hz
  2,offending_robot_id,0 ('\0'),0x20007D0C,5 Hz
  2,count,0 ('\0'),0x20007D0D,5 Hz
 1,dart_info,,0x20007D0E,5 Hz
  2,dart_remaining_time,0 ('\0'),0x20007D0E,5 Hz
  2,dart_info,0,0x20007D0F,5 Hz
 1,robot_status,,0x20007D11,5 Hz
  2,robot_id,3 ('\003'),0x20007D11,5 Hz
  2,robot_level,1 ('\001'),0x20007D12,5 Hz
  2,current_HP,100,0x20007D13,5 Hz
  2,maximum_HP,0,0x20007D15,5 Hz
  2,shooter_barrel_cooling_value,40,0x20007D17,5 Hz
  2,shooter_barrel_heat_limit,240,0x20007D19,5 Hz
  2,chassis_power_limit,80,0x20007D1B,5 Hz
  2,bullet_speed_limit,30,0x20007D1D,5 Hz
  2,power_management_gimbal_output,,<outofscope>,5 Hz
  2,power_management_chassis_output,,<outofscope>,5 Hz
  2,power_management_shooter_output,,<outofscope>,5 Hz
 1,power_heat,,0x20007D22,5 Hz
  2,reserved1,0,0x20007D22,5 Hz
  2,reserved2,0,0x20007D24,5 Hz
  2,reserved3,0,0x20007D26,5 Hz
  2,buffer_energy,60,0x20007D2A,5 Hz
  2,shooter_17mm_barrel_heat,0,0x20007D2C,5 Hz
  2,shooter_42mm_barrel_heat,0,0x20007D2E,5 Hz
 1,robot_pos,,0x20007D30,5 Hz
  2,x,0,0x20007D30,5 Hz
  2,y,0,0x20007D34,5 Hz
  2,angle,271.854492,0x20007D38,5 Hz
 1,buff_musk,,0x20007D3C,5 Hz
  2,recovery_rate,0 ('\0'),0x20007D3C,5 Hz
  2,cooling_rate,0,0x20007D3D,5 Hz
  2,defence_buff,0 ('\0'),0x20007D3F,5 Hz
  2,vulnerability_buff,0 ('\0'),0x20007D40,5 Hz
  2,attack_buff,0,0x20007D41,5 Hz
  2,remaining_energy,0 ('\0'),0x20007D43,5 Hz
 1,robot_hurt,,0x20007D44,5 Hz
  2,armor_id,,<outofscope>,5 Hz
  2,HP_deduction_reason,,<outofscope>,5 Hz
 1,shoot_data,,0x20007D45,5 Hz
  2,bullet_type,0 ('\0'),0x20007D45,5 Hz
  2,shooter_number,0 ('\0'),0x20007D46,5 Hz
  2,launching_frequency,0 ('\0'),0x20007D47,5 Hz
  2,initial_speed,0,0x20007D48,5 Hz
 1,projectile_allowance,,0x20007D4C,5 Hz
  2,projectile_allowance_17mm,0,0x20007D4C,5 Hz
  2,projectile_allowance_42mm,0,0x20007D4E,5 Hz
  2,remaining_gold_coin,0,0x20007D50,5 Hz
  2,projectile_allowance_fortress,0,0x20007D52,5 Hz
 1,init_flag,1 ('\001'),0x20007D54,5 Hz
 1,online,0 ('\0'),0x20007D55,5 Hz
0,cmd_ahrs,0x20007DA8,0x20006908,5 Hz
